@relation 'Workbook1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute angka_harapan_hidup numeric
@attribute angka_melek_huruf numeric
@attribute lama_sekolah numeric
@attribute pengeluaran_perkapita numeric
@attribute ipm numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.794118,0.587487,0.345328,0.341211,0.553138,cluster2
0.610294,0.470829,0.348827,0.416431,0.473331,cluster2
0.786765,0.74985,0.418305,0.368798,0.628527,cluster2
0.816176,0.735278,0.461237,0.403084,0.649895,cluster2
0.720588,0.662489,0.384783,0.642824,0.629848,cluster2
0.676471,0.737542,0.411635,0.313679,0.576582,cluster2
0.573529,0.611162,0.412525,0.333608,0.506117,cluster2
0.477941,0.500926,0.304519,0.296243,0.406311,cluster1
0.139706,0.48169,0.267755,0.257478,0.277742,cluster1
0.419118,0.620232,0.390639,0.355222,0.46082,cluster4
0.110294,0.334301,0.206909,0.232525,0.199316,cluster1
0.183824,0.299801,0.226029,0.340341,0.238131,cluster1
0.029412,0.353111,0.201513,0.347733,0.204189,cluster1
0.220588,0.624113,0.372207,0.336748,0.392147,cluster4
0.705882,0.953481,0.78925,0.519903,0.789404,cluster3
0.669118,0.805549,0.495646,0.39354,0.633726,cluster2
0.676471,0.708695,0.5066,0.359688,0.598295,cluster2
0.610294,0.662816,0.430238,0.317359,0.535619,cluster2
0.610294,0.567391,0.395354,0.345082,0.501277,cluster2
0.786765,0.769731,0.508242,0.312316,0.643502,cluster2
0.610294,0.508206,0.328272,0.138723,0.421352,cluster2
0.522059,0.533072,0.335117,0,0.373905,cluster1
0.507353,0.469223,0.282473,0.252633,0.390272,cluster1
0.588235,0.614273,0.423371,0.323813,0.512099,cluster2
0.735294,0.823949,0.586443,0.407828,0.68429,cluster2
0.176471,0.333176,0.189292,0.251159,0.219563,cluster1
0,0,0,0.211962,0,cluster1
0.183824,0.485299,0.261027,0.249097,0.289365,cluster1
0.272059,0.325781,0.164334,0.34395,0.261194,cluster1
0.727941,0.949822,0.75301,0.410585,0.763178,cluster3
0.830882,0.908957,0.759539,0.686681,0.84249,cluster3
0.632353,0.922065,0.78883,0.650721,0.784012,cluster3
0.654412,0.721564,0.587292,0.637665,0.674189,cluster2
0.455882,0.921115,0.663866,0.576724,0.684373,cluster2
0.830882,0.90723,0.777719,0.596802,0.826612,cluster3
0.786765,0.933946,0.855821,0.401341,0.797455,cluster3
0.735294,0.938182,0.827602,0.567756,0.812417,cluster3
0.595588,0.889552,0.594657,0.33067,0.648266,cluster2
0.816176,0.610785,0.361456,0.352142,0.57392,cluster2
0.661765,0.491338,0.366831,0.444184,0.506338,cluster2
0.823529,0.779846,0.434028,0.398177,0.660046,cluster2
0.823529,0.753961,0.491817,0.435051,0.672408,cluster2
0.786765,0.672262,0.405805,0.67924,0.666227,cluster2
0.686765,0.755848,0.43134,0.346878,0.597821,cluster2
0.586029,0.624267,0.436716,0.360201,0.525706,cluster2
0.492647,0.518571,0.333233,0.308621,0.425982,cluster1
0.186,0.519919,0.284851,0.268155,0.311422,cluster1
0.470588,0.631817,0.399086,0.383169,0.488619,cluster4
0.170588,0.351398,0.240501,0.254732,0.236423,cluster1
0.188235,0.30556,0.243189,0.362831,0.250022,cluster1
0.058088,0.370272,0.221686,0.378895,0.230241,cluster1
0.227941,0.642602,0.40043,0.362024,0.412383,cluster4
0.727206,0.971286,0.819737,0.554424,0.816638,cluster3
0.713235,0.827032,0.5066,0.422484,0.663342,cluster2
0.722059,0.72511,0.532135,0.3847,0.629139,cluster2
0.620588,0.679272,0.452843,0.320142,0.550019,cluster2
0.636029,0.590293,0.419245,0.355906,0.524882,cluster2
0.797794,0.76933,0.5066,0.323303,0.64892,cluster2
0.661765,0.529626,0.353392,0.15072,0.452767,cluster2
0.538971,0.542838,0.352048,0.012421,0.388894,cluster1
0.533088,0.488911,0.296947,0.28022,0.414031,cluster1
0.605147,0.632086,0.439404,0.305839,0.523234,cluster2
0.779412,0.844827,0.624867,0.437156,0.72021,cluster2
0.205882,0.364879,0.212279,0.278284,0.250434,cluster1
0.047059,0.014355,0.020096,0.255836,0.033677,cluster1
0.220588,0.491607,0.280819,0.278483,0.313895,cluster1
0.311184,0.340612,0.194808,0.363355,0.289582,cluster1
0.740441,0.958074,0.771356,0.462337,0.78532,cluster3
0.863971,0.919516,0.784795,0.689437,0.862791,cluster3
0.688235,0.933807,0.80361,0.662569,0.811281,cluster3
0.691176,0.73967,0.611427,0.681616,0.706611,cluster2
0.496324,0.925718,0.681312,0.621569,0.711968,cluster3
0.836029,0.917359,0.795547,0.634809,0.843836,cluster3
0.794118,0.936503,0.876183,0.435519,0.812517,cluster3
0.755147,0.949445,0.843928,0.641632,0.842187,cluster3
0.650735,0.906843,0.614115,0.413856,0.693837,cluster2
0.823529,0.752935,0.430275,0.367083,0.643369,cluster2
0.698529,0.517444,0.395185,0.449453,0.534299,cluster2
0.838235,0.835758,0.486831,0.431198,0.702776,cluster2
0.830882,0.766822,0.49388,0.444166,0.681477,cluster2
0.794118,0.802871,0.491722,0.700782,0.737231,cluster2
0.698529,0.793269,0.480991,0.347488,0.625434,cluster2
0.639706,0.743537,0.433372,0.37931,0.586289,cluster2
0.5,0.674371,0.331889,0.320366,0.483515,cluster2
0.213235,0.581652,0.384102,0.279847,0.365844,cluster1
0.5,0.664848,0.436959,0.397843,0.520886,cluster2
0.205882,0.351398,0.237814,0.294255,0.255241,cluster1
0.242647,0.423865,0.264692,0.371834,0.314168,cluster1
0.058824,0.443321,0.208735,0.444488,0.26653,cluster1
0.264706,0.724171,0.367502,0.427495,0.458405,cluster4
0.764706,0.973446,0.814166,0.609936,0.839613,cluster3
0.742647,0.827032,0.501935,0.451105,0.677783,cluster2
0.772059,0.759345,0.533479,0.420328,0.664467,cluster2
0.647059,0.752614,0.45696,0.344883,0.58958,cluster2
0.661765,0.653918,0.442046,0.356951,0.559859,cluster2
0.808824,0.76933,0.505687,0.430264,0.675139,cluster2
0.691176,0.529626,0.358768,0.255636,0.485997,cluster2
0.544118,0.62768,0.397803,0.076728,0.443721,cluster2
0.566176,0.638532,0.357811,0.361146,0.506646,cluster2
0.610294,0.65636,0.447035,0.356563,0.545712,cluster2
0.794118,0.883635,0.667929,0.476201,0.756157,cluster2
0.257353,0.579385,0.210935,0.340075,0.352492,cluster1
0.088235,0.076859,0.046015,0.317473,0.086825,cluster1
0.235294,0.490321,0.278132,0.301078,0.322212,cluster1
0.352941,0.46779,0.197495,0.461427,0.367522,cluster1
0.757353,0.958074,0.775387,0.50454,0.800521,cluster3
0.875,0.957564,0.788452,0.70194,0.882598,cluster3
0.713235,0.959919,0.990417,0.673497,0.872759,cluster3
0.705882,0.73967,0.614115,0.694108,0.714652,cluster3
0.514706,0.925718,0.687197,0.690955,0.734232,cluster3
0.845588,0.957147,0.813211,0.63769,0.86504,cluster3
0.808824,0.936503,0.882902,0.496642,0.831934,cluster3
0.779412,0.949445,0.844705,0.702959,0.863076,cluster3
0.669118,0.906843,0.614115,0.473688,0.712354,cluster2
0.843382,0.816246,0.429996,0.372879,0.672408,cluster2
0.725,0.638018,0.407149,0.480125,0.592876,cluster2
0.861029,0.83566,0.486441,0.486589,0.721859,cluster2
0.852941,0.868286,0.546919,0.445013,0.735045,cluster2
0.8125,0.802765,0.491817,0.717388,0.746584,cluster2
0.719853,0.841322,0.540199,0.378461,0.6687,cluster2
0.663235,0.752343,0.434028,0.459704,0.614304,cluster2
0.525735,0.674419,0.331889,0.340705,0.496036,cluster2
0.230147,0.581665,0.384302,0.298394,0.375295,cluster1
0.533088,0.679272,0.436716,0.41137,0.538893,cluster2
0.232353,0.351398,0.237814,0.332331,0.271862,cluster1
0.258824,0.455476,0.302322,0.422388,0.349334,cluster1
0.083088,0.443343,0.210935,0.472338,0.280516,cluster1
0.290441,0.724301,0.366831,0.435463,0.468014,cluster4
0.786029,0.973443,0.814362,0.642169,0.853314,cluster3
0.763235,0.884464,0.569765,0.524345,0.734633,cluster2
0.783088,0.841592,0.544231,0.483945,0.711968,cluster2
0.666912,0.786587,0.456875,0.411223,0.621722,cluster2
0.678676,0.696529,0.442092,0.359803,0.580101,cluster2
0.830882,0.76933,0.505257,0.524052,0.702078,cluster2
0.719853,0.642602,0.364143,0.330568,0.550431,cluster2
0.558088,0.627772,0.397742,0.165732,0.46719,cluster2
0.586029,0.638558,0.357424,0.361273,0.512932,cluster2
0.627206,0.683047,0.447467,0.381106,0.565266,cluster2
0.816176,0.883655,0.667873,0.537861,0.776254,cluster3
0.272059,0.579508,0.210935,0.36759,0.362933,cluster1
0.140441,0.07691,0.045631,0.380518,0.116506,cluster1
0.257353,0.490259,0.307698,0.334094,0.343153,cluster1
0.369853,0.467879,0.197495,0.556666,0.393427,cluster4
