nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2004,"Angka Harapan Hidup","Tahun",62.4
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2004,"Angka Melek Huruf","Persen",94.5
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2004,"Rata-rata Lama Sekolah","Tahun",6.1
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2004,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",596.21
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2004,"IPM","Tanpa Satuan",64.49
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,"Angka Harapan Hidup","Tahun",62.52
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,"Angka Melek Huruf","Persen",94.8
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,"Rata-rata Lama Sekolah","Tahun",6.1
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",603.44
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,"IPM","Tanpa Satuan",65.18
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,"Angka Harapan Hidup","Tahun",62.7
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,"Angka Melek Huruf","Persen",98.3
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,"Rata-rata Lama Sekolah","Tahun",6.2
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",606.65
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,"IPM","Tanpa Satuan",66.38
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,"Angka Harapan Hidup","Tahun",62.75
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,"Angka Melek Huruf","Persen",98.3
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,"Rata-rata Lama Sekolah","Tahun",7.6
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",613.41
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,"IPM","Tanpa Satuan",67.97
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,"Angka Harapan Hidup","Tahun",62.84
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,"Angka Melek Huruf","Persen",98.3
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,"Rata-rata Lama Sekolah","Tahun",8
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",617.07
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,"IPM","Tanpa Satuan",68.6
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,"Angka Harapan Hidup","Tahun",62.91
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,"Angka Melek Huruf","Persen",98.58
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,"Rata-rata Lama Sekolah","Tahun",8.3
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",617.1
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,"IPM","Tanpa Satuan",68.92
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2010,"Angka Harapan Hidup","Tahun",62.98
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2010,"Angka Melek Huruf","Persen",98.66
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2010,"Rata-rata Lama Sekolah","Tahun",8.52
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2010,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",618.86
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2010,"IPM","Tanpa Satuan",69.28
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2011,"Angka Harapan Hidup","Tahun",63.05
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2011,"Angka Melek Huruf","Persen",98.85
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2011,"Rata-rata Lama Sekolah","Tahun",8.62
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2011,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",622.72
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2011,"IPM","Tanpa Satuan",69.73
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2012,"Angka Harapan Hidup","Tahun",63.12
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2012,"Angka Melek Huruf","Persen",99.29
