nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Prov. Jawa Timur,3501,Kab. Pacitan,2004,70,83.05592,6,615.53445,67.585673
Prov. Jawa Timur,3502,Kab. Ponorogo,2004,67.5,78.729378,6.0260332,620.65452,65.649024
Prov. Jawa Timur,3503,Kab. Trenggalek,2004,69.9,89.077552,6.5430055,617.41226,69.415135
Prov. Jawa Timur,3504,Kab. Tulungagung,2004,70.3,88.537094,6.8624601,619.74599,69.933661
Prov. Jawa Timur,3505,Kab. Blitar,2004,69,85.83754,6.2935755,636.06455,69.447195
Prov. Jawa Timur,3506,Kab. Kediri,2004,68.4,88.621074,6.4933767,613.66044,68.15459
Prov. Jawa Timur,3507,Kab. Malang,2004,67,83.933972,6.5,615.01692,66.444632
Prov. Jawa Timur,3508,Kab. Lumajang,2004,65.7,79.845594,5.6963465,612.47356,64.022662
Prov. Jawa Timur,3509,Kab. Jember,2004,61.1,79.132208,5.4227924,609.83496,60.902687
Prov. Jawa Timur,3510,Kab. Banyuwangi,2004,64.9,84.270353,6.33715,616.48813,65.345418
Prov. Jawa Timur,3511,Kab. Bondowoso,2004,60.7,73.665939,4.9700423,608.13641,58.999526
Prov. Jawa Timur,3512,Kab. Situbondo,2004,61.7,72.386433,5.1123133,615.47524,59.941458
Prov. Jawa Timur,3513,Kab. Probolinggo,2004,59.6,74.363562,4.9298938,615.97841,59.117788
Prov. Jawa Timur,3514,Kab. Pasuruan,2004,62.2,84.414277,6.2,615.23069,63.678945
Prov. Jawa Timur,3515,Kab. Sidoarjo,2004,68.8,96.629672,9.3031452,627.69758,73.319121
Prov. Jawa Timur,3516,Kab. Mojokerto,2004,68.3,91.143258,7.1184876,619.09634,69.541304
Prov. Jawa Timur,3517,Kab. Jombang,2004,68.4,87.551194,7.2,616.79212,68.681503
Prov. Jawa Timur,3518,Kab. Nganjuk,2004,67.5,85.849686,6.6318001,613.9109,67.160556
Prov. Jawa Timur,3519,Kab. Madiun,2004,67.5,82.310637,6.3722315,615.79793,66.327189
Prov. Jawa Timur,3520,Kab. Magetan,2004,69.9,89.814892,7.2122148,613.56764,69.77854
Prov. Jawa Timur,3521,Kab. Ngawi,2004,67.5,80.115607,5.8730893,601.75153,64.387646
Prov. Jawa Timur,3522,Kab. Bojonegoro,2004,66.3,81.037837,5.9240182,592.30899,63.236265
Prov. Jawa Timur,3523,Kab. Tuban,2004,66.1,78.669817,5.532304,609.50518,63.633428
Prov. Jawa Timur,3524,Kab. Lamongan,2004,67.2,84.049363,6.580705,614.35019,66.589808
Prov. Jawa Timur,3525,Kab. Gresik,2004,69.2,91.825689,7.7940918,620.06889,70.76832
Prov. Jawa Timur,3526,Kab. Bangkalan,2004,61.6,73.624201,4.838957,609.40479,59.490856
Prov. Jawa Timur,3527,Kab. Sampang,2004,59.2,61.267599,3.4304686,606.73676,54.162763
Prov. Jawa Timur,3528,Kab. Pamekasan,2004,61.7,79.266055,5.3727241,609.26447,61.184731
Prov. Jawa Timur,3529,Kab. Sumenep,2004,62.9,73.349932,4.6532508,615.72087,60.501111
Prov. Jawa Timur,3571,Kota Kediri,2004,69.1,96.493982,9.0334903,620.25655,72.682692
Prov. Jawa Timur,3572,Kota Blitar,2004,70.5,94.978402,9.0820734,639.04984,74.607348
Prov. Jawa Timur,3573,Kota Malang,2004,67.8,95.464519,9.3000248,636.60208,73.188263
Prov. Jawa Timur,3574,Kota Probolinggo,2004,68.1,88.028497,7.800411,635.71342,70.523201
Prov. Jawa Timur,3575,Kota Pasuruan,2004,65.4,95.429307,8.3701864,631.56529,70.770342
Prov. Jawa Timur,3576,Kota Mojokerto,2004,70.5,94.914347,9.2173448,632.93198,74.222043
Prov. Jawa Timur,3577,Kota Madiun,2004,69.9,95.905172,9.7984914,619.62737,73.51449
Prov. Jawa Timur,3578,Kota Surabaya,2004,69.2,96.062271,9.5885226,630.95489,73.877562
Prov. Jawa Timur,3579,Kota Batu,2004,67.3,94.258727,7.8552115,614.81692,69.894143
Prov. Jawa Timur,3501,Kab. Pacitan,2005,70.3,83.92,6.12,616.27852,68.09
Prov. Jawa Timur,3502,Kab. Ponorogo,2005,68.2,79.49,6.16,622.54356,66.45
Prov. Jawa Timur,3503,Kab. Trenggalek,2005,70.4,90.19,6.66,619.41202,70.18
Prov. Jawa Timur,3504,Kab. Tulungagung,2005,70.4,89.23,7.09,621.92191,70.48
Prov. Jawa Timur,3505,Kab. Blitar,2005,69.9,86.2,6.45,638.54334,70.33
Prov. Jawa Timur,3506,Kab. Kediri,2005,68.54,89.3,6.64,615.92018,68.67
